Timestamp;In which age group are you in?;What is your gender?;What is the highest educational diploma you have obtained?;Level of education. Numeric;In which discipline is your academic background?;How many languages do you speak fluently?;Where do you currently reside?;COP 26 is organised to prevent the Earth’s average temperature from rising by no more than how many degrees Celsius?;COP 26.Numeric;Do you think that climate change is caused by human activities?;Which of the following is a greenhouse gas?;Did you notice changes in temperatures during this year in comparison to few last years (warmer summers, colder winters, etc.) ?;Did you notice changes in temperatures. Numeric;The majority of scientists agree that climate change is real;The majority of scientists agree .Numeric;Climate change is bound to happen because of the global economic activity;global economic activity. Numeric;Climate change is a natural phenomenon;Recent global disasters ( floods, fires, droughts) are more prevalent because of climate change;Recent global disasters. Numeric;Climate change is mostly because of the pollution from industries;pollution from industries. Numeric;Total eco awareness score. Numeric;What can an individual do to reduce the process of climate change?;What can society as a group do to reduce the process of climate change?;;;;;baseline;;;temp baseline;;;;Hypothesis 1 = Climate change is bound to happen because of the global economic activity vs Level of education;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.11.21 20:46;Over 30 years;Female;Master's Diploma;3;Humanities;3;Poland;I am not sure;0;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;4;7;1;6;1;1,05;Produce less waste, choose public transport, recycle;Stop make people buy and produce unnecessary things and import them from the other side of the globe, promote veganism, focus on more ecological means of transport;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sudan;1;;;;;;;;Language;1
26.11.21 21:18;26-30 years;Female;Master's Diploma;3;Humanities;4;Poland;2,5;0,75;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;Yes;1;Yes;1;7;1;6;7;1;7;1;1,1625;Try to reduce carbon footprint, eat locally and seasonally, go vegan, use sustainable transport, reduce energy use and consumption;Require governments and corporations to make global changes that will reduce carbon emissions;;;;;;;;;;;;Hypothesis 2 = Number of languages vs eco awareness;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sweden;1;;;;;;;;Life science;1
26.11.21 21:22;26-30 years;Female;Master's Diploma;3;Humanities;4;Ukraine;1,5;1;Yes;Carbon Dioxide, Methane;No;0;Yes;1;7;1;4;7;1;6;1;1,05;Less cars, using geeen energy, waste sorting, careful use of all resources;Educate, motivate, restrict;;;;;;;;;;;;t-Test: Paired Two Sample for Means;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Turkey;3;;;;;;;;Management;1
26.11.21 22:08;21-25 years;Female;Master's Diploma;3;Social sciences;3;Czech Republic;2,5;0,75;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;2;6;1;6;1;1,1625;cut their meat consumption, ditch the cars, downsize;rigorous carbon tax, restructuring of global econ chain, decentralization of industrial production, radical change in consumption habits (consuming less, demanding production output that was produced w limited footprint on the environment), make vegetarian diet a default;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ukraine;42;;;;;;;;Marketing;1
26.11.21 22:30;21-25 years;Female;High School Diploma;1;Social sciences;3;Ukraine;I am not sure;0;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;5;7;1;6;1;1,05;reduce ones waste, avoid unnecessary shipping and travel, minimise usage of utilities, switch to more eco-friendly transportation methods, educate others on the topic;create a working legal framework for businesses to regulate and tax them, use renewable energy, educate people, help the underdeveloped countries to develop;;;;;;;;;;;;;Variable 1;Variable 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;United Arab Emirates;1;;;;;;;;Marketing and analytics;1
27.11.21 1:24;21-25 years;Male;Master's Diploma;3;Natural sciences;2;Poland;2,5;0,75;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;4;7;1;7;1;1,1625;be responsible for our actions, to live in a small appartement, to participate in recycling;Reduce, reuse, recycle, avoid rubbish piles and fly less;;;;;;;;;;;;Mean;2,616915423;0,875621891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;United Kingdom;2;;;;;;;;Mba;1
27.11.21 6:28;21-25 years;Female;Bachelor's Diploma;2;Social sciences;4;Canada;I am not sure;0;Yes;I am not sure;Yes;1;Yes;1;7;1;1;5;1;6;1;1,05;…;…;;;;;;;;;;;;Variance;0,707512438;0,081952736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;United States;2;;;;;;;;Mechanical engineering;1
27.11.21 9:23;18-20 years;Female;High School Diploma;1;Social sciences;2;Ukraine;2,5;0,75;Yes;All of them;Yes;1;Yes;1;7;1;5;6;1;6;1;1,1625;_________ ______, _______ ______, _____ ________ ___________ _____, ___________ ___ _______, ____________ ______, ______ _______, ____________ ______________, _______ _______ _______ __ _______;__________ ___ __________ ______, ______ _______ ______, _______ __ ____ _______ _______, _______ ______ ______ __ _______ _____ __ __________ ______;;;;;;;;;;;;Observations;201;201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(blank);;;;;;;;;Medicine;1
27.11.21 10:08;26-30 years;Male;Bachelor's Diploma;2;Natural sciences;2;Pakistan;I am not sure;0;Yes;Methane;Yes;1;Yes;1;7;1;4;6;1;5;1;1,05;Reducing the carbon footprint, less use of non biodegradable sources;Less wastage, less use of fossil fuels;;;;;;;;;;;;Pearson Correlation;-0,063894707;;Hypotheris is not confirmed as we have no correlation here;;;;;;;;;;;;;;;;;;;;;;;;;;;;Grand Total;201;;;;;;;;Medicine and Accounting;1
27.11.21 10:28;21-25 years;Female;Bachelor's Diploma;2;Natural sciences;2;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;3;7;1;5;1;1,2;Adopt more enviornmentally friendly practices in their everyday lifes (such as reducing waste, recycling, concious comption...), be more concious about how they contribute to climate change and get informed about the decisions that are being taken on the topic.;Get informed and take action.;;;;;;;;;;;;Hypothesized Mean Difference;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Medicine and Accounting (CPA);1
27.11.21 10:31;21-25 years;Female;Bachelor's Diploma;2;Humanities;4;Ukraine;I am not sure;0;Yes;All of them;Yes;1;Yes;1;7;1;3;6;1;5;1;1,05;Be responsible, reuse, reasonable consumption;Take care and don’t destroy nature. recycle garbage;;;;;;;;;;;;df;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Natural sciences;46
27.11.21 11:31;21-25 years;Female;Bachelor's Diploma;2;design;3;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;3;6;1;5;1;1,2;use less plastic, consume less meat, use more sustainable materials in daily life, engage in slow fashion;adopt sustainable waste management, consume less- moderation is key, boycott unsustainable brands, adopt sustainable energy;;;;;;;;;;;;t Stat;27,25840991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Natural Sciences + Humanities (you should really allow for more than 1 answer at the CRI...);1
27.11.21 12:31;Over 30 years;Female;Master's Diploma;3;Natural sciences;2;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;5;7;1;6;1;1,2;Changing consumption behaviour and energy dependencies;Change energy sources and create awareness around the member;;;;;;;;;;;;P(T<=t) one-tail;1,41874E-69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;political studies;1
27.11.21 12:52;18-20 years;Male;High School Diploma;1;Natural sciences;2;France;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;1;7;1;5;1;1,2;"Eat less meat; avoid car, plane, boat transportation whenever possible; recycle; use less plastic; try to waste less; communicate with others about climate change; participate in group actions, protests";Choose policymakers that take ambitious actions, collaborate to ease local production;;;;;;;;;;;;t Critical one-tail;1,285798794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Social sciences;42
27.11.21 13:16;18-20 years;Female;Bachelor's Diploma;2;Natural sciences;2;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;7;7;1;7;1;1,2;civil disobedience, reasonable consumption;civil disobedience, voting, meet together to imagine a different society;;;;;;;;;;;;P(T<=t) two-tail;2,83748E-69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(blank);
27.11.21 13:27;18-20 years;Female;High School Diploma;1;Humanities;2;France;1,5;1;Yes;Methane, Water Vapor, I am not sure;Yes;1;Yes;1;7;1;6;6;1;4;0,5;1,1;Having its own bio vegetable garden for exemple;Help each other to do thing that need energy in oder to produce once instead of twice;;;;;;;;;;;;t Critical two-tail;1,652508101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Grand Total;201
27.11.21 13:39;21-25 years;Female;Bachelor's Diploma;2;Natural sciences;2;France;2,5;0,75;Yes;All of them;Yes;1;Yes;1;7;1;4;7;1;7;1;1,1625;Recycle, eat local food, eat less meat, choose ecological housing and consummation habits, not buys product from massively polluting industries, avoid fast fashion and everything single use, commute, bike, walk instead of car/plane/any fossil fuel transportation;Demand legal action from the governments, help economically challenged countries to chnage the system by growimg differently (and better) than 'northern' countries, take legal actions to sanction polluting industries, accept the difficulty and discomfort of ecological transition;;;;;;;;;;;;Hypothesis 3 =Education level vs total eco awareness score;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 15:22;21-25 years;Female;Bachelor's Diploma;2;Natural sciences;4;Ukraine;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;4;7;1;6;1;1,2;Stop driving the car in everyday basis and start using public transport or last mile transport such as bicycles or scooters.;Every school should have a course on climate and climate changes. Also we need to increase consciousness of the changes between people in general;;;;;;;;;;;;t-Test: Paired Two Sample for Means;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 15:57;26-30 years;Female;Master's Diploma;3;Natural sciences;3;Poland;2,5;0,75;Yes;All of them;Yes;1;Yes;1;7;1;1;5;1;5;1;1,1625;Reduce waste, reduce usage of the car;Too hard to tell;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 16:02;18-20 years;Female;High School Diploma;1;Social sciences;3;Poland;I am not sure;0;Yes;All of them;Yes;1;Yes;1;7;1;2;7;1;3;0;0,85;Go vegan, choose bus or bike over a car, train over a plane, demanding change in the way the energy is produced in a country;Same things that the indivual can;;;;;;;;;;;;;Variable 1;Variable 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 16:02;21-25 years;Female;Master's Diploma;3;Social sciences;2;Poland;1,5;1;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;3;7;1;7;1;1,2;recycling, water saving;act up, manifest;;;;;;;;;;;;Mean;2,616915423;1,062624378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 16:09;21-25 years;Female;Bachelor's Diploma;2;Natural sciences;2;Poland;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;3;7;1;6;1;1,2;Reduce Carbon footprint by choosing a train not a plane (if possible), reducing over consumption, using renewable energy sources if possible, zero waste;Invest in environment friendly sources of energy, educate the society on this matter;;;;;;;;;;;;Variance;0,707512438;0,026335922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 16:19;21-25 years;Female;High School Diploma;1;Applied sciences;2;Poland;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;2;7;1;6;1;1,2;reduce usage of water, electricity ,plastic, eat less meat, stop wasting food, support sustainable production by buying organic products,;Same as individual actions, also raising awereness about climate change, maybe also people in power could pass some laws or taxes that would encourage people to be more eco-friendly;;;;;;;;;;;;Observations;201;201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 17:09;21-25 years;Female;Bachelor's Diploma;2;Social sciences;3;Canada;1,5;1;Yes;Carbon Dioxide, Methane;No;0;Yes;1;7;1;4;7;1;5;1;1,05;Be mindful with your own consumption;Hold those in power accountable and work towards common goal;;;;;;;;;;;;Pearson Correlation;-0,004685727;;Hypotheris is not confirmed as we have no correlation here;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 17:26;21-25 years;Female;Master's Diploma;3;Social sciences;2;Ukraine;I am not sure;0;Yes;All of them;Yes;1;Yes;1;7;1;7;6;1;5;1;1,05;Try to reduce garbage and other staff;Mostly listen eco-activities;;;;;;;;;;;;Hypothesized Mean Difference;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 17:29;18-20 years;Female;High School Diploma;1;Natural sciences;3;Poland;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;4;7;1;5;1;1,2;drive car less;change energy s_ sources in industry;;;;;;;;;;;;df;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 17:31;21-25 years;Female;Bachelor's Diploma;2;Humanities;3;Poland;1,5;1;Yes;All of them;No;0;Yes;1;7;1;2;7;1;5;1;1,05;Vote for people who will ensure that their country switches to green energy as much as possible, eat less meat;Vote for people who will ensure that their country switches to green energy as much as possible;;;;;;;;;;;;t Stat;25,70094029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 17:40;Over 30 years;Female;Master's Diploma;3;Natural sciences;3;France;I am not sure;0;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;1;7;1;7;1;1,05;Reduce carbon footprint;Shop locally, recycle, reduce waste, make smarter choices;;;;;;;;;;;;P(T<=t) one-tail;1,35712E-65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 17:48;21-25 years;Female;Master's Diploma;3;Social sciences;3;Ukraine;I am not sure;0;Yes;Methane;Yes;1;Yes;1;7;1;3;6;1;4;0,5;0,95;The easiest thing is getting the right info and sharing it, reducing amount of pollution in the air, water etc;Be active as an organization to acknowledge others and make an impact on them;;;;;;;;;;;;t Critical one-tail;1,285798794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 18:02;26-30 years;Male;Bachelor's Diploma;2;Natural sciences;2;France;I am not sure;0;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;No;0;Yes;1;7;1;5;6;1;7;1;0,9;Almost nothing. Even though there are minor measures that we can take to diminish our carbon footprint, most of greenhouse gases come from big industries;Pressure the enterprises to transition to greener energies;;;;;;;;;;;;P(T<=t) two-tail;2,71423E-65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 18:28;21-25 years;Female;Bachelor's Diploma;2;Applied sciences;3;Canada;I am not sure;0;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;3;6;1;7;1;1,05;Die;just go extinct;;;;;;;;;;;;t Critical two-tail;1,652508101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 18:29;21-25 years;Female;Bachelor's Diploma;2;Social sciences;3;Ukraine;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;3;7;1;7;1;1,2;3R rule: reuse, recycle, reduce;3R rule: reuse, recycle, reduce + educate people;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 18:36;18-20 years;Male;High School Diploma;1;Social sciences;2;Poland;I am not sure;0;Yes;Carbon Dioxide, Methane, I am not sure;No;0;Yes;1;7;1;5;5;1;7;1;0,9;Shop responsibly, recycle waste;Same + push pro environment policies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 18:42;18-20 years;Male;High School Diploma;1;Natural sciences;2;France;I am not sure;0;Yes;All of them;No;0;Yes;1;7;1;2;7;1;5;1;0,9;1. changes in behavior like never travelling (particularly by plane) or never eating meat have a high ratio efficiency/difficulty to do (but are not enough). 2. political activism to cause the change I will talk about in the next question;switch to carbon-free electricity (renewable-nuclear-...), limit transport and particularly thermal powered transport both for people transport and goods transport (which imply relocating the necessary industry) - changes the industrial processes that produce a lot of green house gases : concrete, metallurgy, limit the production of meat. Indirectly, as those previous action would be easier if we had more control over the means of production I would add end the capitalism and switch to a democratic planned economy but that's only my humble opinion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 18:47;21-25 years;Male;Master's Diploma;3;Applied sciences;2;France;2,5;0,75;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;Yes;1;Yes;1;7;1;4;6;1;7;1;1,1625;Avoid plane, reduce meat;Reduce industry emission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 20:42;18-20 years;Female;High School Diploma;1;Natural sciences;2;Poland;1,5;1;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;Yes;1;Yes;1;7;1;1;7;1;7;1;1,2;Vote for responsible politicians who care about climat, protest against climat change, buy less, use public transport, eat less meat and dairy products.;Support development of public transport, green energy production, ecofriendly production of food, make pressure on politicians and companies to inform how and where products were made;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 20:53;21-25 years;Male;High School Diploma;1;Humanities;2;Poland;I am not sure;0;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;1;7;1;6;1;1,05;Not much;Stop using coal, limit meat consumption, limit unecessary travel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 21:53;21-25 years;Female;Master's Diploma;3;Biology;2;Poland;I am not sure;0;Yes;All of them;Yes;1;Yes;1;7;1;7;7;1;7;1;1,05;Eat less meat, recycle, change lightbulbs and swich off the lights in rooms you are not in right now, change your old fireplace (used to warm your house);Lower the usage of oil and coil, less amount of cars, switching to wind or sun energy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.21 22:40;18-20 years;Female;High School Diploma;1;political studies;2;Poland;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;4;7;1;5;1;1,2;use public transport;cut down/stop the usage of coal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 0:56;18-20 years;Female;High School Diploma;1;Natural sciences;2;Poland;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;6;6;1;7;1;1,2;recycle, shop sustainably, avoid using plastic, limit eating meat, dairy etc.;oppose unsu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 9:55;18-20 years;Female;High School Diploma;1;Natural sciences;2;Poland;I am not sure;0;Yes;Water Vapor;Yes;1;Yes;1;7;1;7;7;1;4;0,5;0,95;Recycle;Use renewable sources of energy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 10:12;18-20 years;Female;High School Diploma;1;Natural sciences;2;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;4;7;1;7;1;1,2;some simple action like reduce plastic/ water / meat;change their economy system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 12:22;21-25 years;Female;High School Diploma;1;Humanities;3;Poland;I am not sure;0;Yes;All of them;Yes;1;Yes;1;7;1;3;7;1;5;1;1,05;Be eco-friendly;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 17:27;18-20 years;Male;High School Diploma;1;Social sciences;2;Poland;2,5;0,75;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;5;7;1;5;1;1,1625;.;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
